line_num,station_cd,station_nm,fr_code,operator,transfer,doors,english,japanese,chinese,restroom,crossable,wheelchair_charge,lost_found,parking,bicycle,document,atm,train_ticket,lounge,nursing_room,camera,phone_charge,locker,address,cx,cy,telno,origin
1호선,1916,소요산,100,한국철도공사,,,Soyosan,ソヨサン,逍遙山,,Y,,,,,,,,,Y,,,,경기도 동두천시 평화로 2925,37.9481,127.061034,1544-7788,인근에 소요산이 있어 명명. 신라 원효대사가 이 산에 자재암을 세운 후로 974년부터 소요산이라 부르게 됨.
1호선,1915,동두천,101,한국철도공사,,,Dongducheon,トンドゥチョン,东豆川,,Y,,,,,,,,,Y,,,,경기도 동두천시 평화로 2687,37.927878,127.05479,1544-7788,"동두천리와 안흥리를 합쳐 만든 동안역이었으나, 경원선 복선전철화와 함께 동두천역으로 개명."
1호선,1914,보산,102,한국철도공사,,,Bosan,ポサン,保山,,Y,,,,,,,,,Y,,,,경기도 동두천시 평화로 2539,37.913702,127.057277,1544-7788,6.25 전쟁 후 없어진 보산리와 축산부락의 이름을 따 명명. 1981년 보산리와 걸산리를 합쳐 보산동으로 개편.
1호선,1913,동두천중앙,103,한국철도공사,,,Dongducheon Jungang,トンドゥチョンチュンアン,东豆川中央,,Y,Y,,,,Y,,,,Y,,,Y,경기도 동두천시 동두천로 228,37.901885,127.056482,1544-7788,동쪽에서 발원한 하천이 흐르고 있어 동두천이라 한데서 유래. 동두천역에서 2006년 12월 15일 경원선 복선
1호선,1912,지행,104,한국철도공사,,,Jihaeng,チヘン,纸杏,,Y,,,,,Y,,,,,,,,경기도 동두천시 평화로 2285,37.892334,127.055716,1544-7788,"자연마을인 종이골, 사당골에서 유래. 종이골에서 '지'를, 사당골은 조선 전기 때의 무신인 어유소(魚有沼)가 출생하고 성장한 마을로, 그가 죽은 후에 후손들이 사당을 지어 모셨으므로 붙여진 이름이다. 또한 어유소가 학문을 익힌 은행나무 밑 단(壇)을 행단(杏亶)이라 하여 행단마을이라고도 한데서 유래."
1호선,1911,덕정,105,한국철도공사,,,Deokjeong,トクチョン,德亭,,Y,,Y,,,Y,,,,Y,,,Y,경기도 양주시 화합로 1356,37.843188,127.061277,1544-7788,"현 평화로 근처의 주막 이름이 덕정인 것과, 인근의 지명에 '덕', '정'을 인용한 촌락이 많아 유래."
1호선,1910,덕계,106,한국철도공사,,,Deokgye,トッケ,德溪,,Y,,,,,,,,,Y,,,,경기도 양주시 고덕로 139번길 317,37.818486,127.056486,1544-7788,1914년 일부 지역을 합칠 당시 돈계리와 도덕리가 합쳐져 덕계리가 된데서 유래
1호선,1909,양주,107,한국철도공사,,,Yangju,ヤンジュ,杨州,,Y,,Y,,,Y,,,,Y,,,,경기도 양주시 평화로 919,37.774381,127.044708,1544-7788,"양주시의 안쪽에 있다 하여 주내라 명명. 인지도 부족으로 2007년 12월 28일, 행정시인 양주시의 이름을 따 양주역으로 개명."
1호선,1908,녹양,108,한국철도공사,,,Nogyang,ノギャン,绿杨,,Y,,,,,,,,,Y,,,,경기도 의정부시 평화로 757,37.75938,127.042292,1544-7788,이곳에 녹양평(綠楊坪)이라는 군마(軍馬)를 기르는 목장이 있었다고 하여 붙여진데서 유래.
1호선,1907,가능,109,한국철도공사,,,Ganeung,カヌン,佳陵,,Y,,,,Y,Y,,,,Y,,,Y,경기도 의정부시 평화로 633,37.748577,127.044213,1544-7788,자연마을인 가좌리와 어능리에서 따서 명명. 예전 이름은 의정부역 내 북부임시역이었으나 2006년 12월 15일 소요산 연장구간 개통과 동시에 개명.
1호선,1906,의정부,110,한국철도공사,,,Uijeongbu,ウィジョンブ,议政府,,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,경기도 의정부시 평화로 525,37.738415,127.045958,1544-7788,각 대신들이 이곳에서 정무를 논의하였다 하여 의정부라는 지명이 생성된데서 유래
